# Mean position of the rotation pole, yearly averages
# Source: IERS EOP C01 (IAU2000), Earth Orientation Centre, Observatoire de Paris
#         hpiers.obspm.fr/iers/eop/eopc01/eopc01.iau2000.1900-now.dat
# Retrieved 2026-08-06. x and y in arcseconds; y is positive towards 90 degrees WEST.
# Yearly means: this removes the Chandler and annual wobble and leaves the drift.
year,x,y
1900,-0.0346,0.0108
1901,0.0329,-0.0072
1902,0.0202,0.0699
1903,0.0037,0.1073
1904,-0.0188,0.0973
1905,-0.0252,0.0626
1906,-0.0554,0.0676
1907,-0.0541,0.0408
1908,0.0084,0.0318
1909,0.0133,0.1010
1910,-0.0199,0.1437
1911,-0.0452,0.1557
1912,-0.0654,0.1061
1913,-0.0055,0.0714
1914,0.0110,0.1034
1915,0.0163,0.1221
1916,-0.0035,0.0977
1917,-0.0248,0.0841
1918,-0.0292,0.1228
1919,-0.0182,0.0835
1920,0.0474,0.0886
1921,0.0242,0.0866
1922,0.0426,0.1095
1923,0.0184,0.1604
1924,-0.0080,0.1380
1925,0.0064,0.0904
1926,-0.0292,0.1317
1927,0.0039,0.1275
1928,-0.0343,0.1553
1929,0.0202,0.1617
1930,-0.0035,0.1716
1931,-0.0178,0.1917
1932,-0.0200,0.2131
1933,-0.0345,0.1907
1934,-0.0379,0.2019
1935,-0.0234,0.1760
1936,-0.0215,0.1942
1937,-0.0089,0.2011
1938,-0.0011,0.2127
1939,0.0302,0.2425
1940,0.0185,0.2242
1941,0.0154,0.2380
1942,-0.0027,0.2365
1943,0.0218,0.2172
1944,-0.0006,0.1399
1945,0.0242,0.2299
1946,0.0060,0.2501
1947,0.0218,0.2623
1948,0.0304,0.2088
1949,0.0346,0.1917
1950,0.0788,0.2171
1951,0.0614,0.2247
1952,0.0254,0.2909
1953,-0.0012,0.2827
1954,-0.0347,0.2366
1955,0.0218,0.2188
1956,0.0793,0.2652
1957,0.0581,0.3283
1958,0.0348,0.3358
1959,-0.0125,0.2977
1960,-0.0163,0.2501
1961,0.0114,0.2054
1962,0.0045,0.1560
1963,0.0038,0.1856
1964,-0.0059,0.2424
1965,-0.0308,0.2329
1966,-0.0351,0.1902
1967,0.0002,0.1738
1968,0.0022,0.1862
1969,0.0107,0.2192
1970,0.0092,0.2303
1971,-0.0048,0.2538
1972,-0.0112,0.2310
1973,-0.0020,0.2181
1974,0.0208,0.2050
1975,0.0381,0.2221
1976,0.0455,0.2710
1977,0.0243,0.2818
1978,-0.0012,0.2811
1979,-0.0051,0.2571
1980,0.0066,0.2765
1981,0.0271,0.2626
1982,0.0592,0.2623
1983,0.0671,0.3061
1984,0.0415,0.3232
1985,0.0138,0.3028
1986,0.0249,0.2715
1987,0.0239,0.2634
1988,0.0593,0.2861
1989,0.0739,0.3008
1990,0.0616,0.3502
1991,0.0216,0.3520
1992,0.0015,0.3247
1993,0.0198,0.2847
1994,0.0517,0.3096
1995,0.0771,0.3392
1996,0.0472,0.3627
1997,0.0214,0.3468
1998,0.0150,0.3435
1999,0.0243,0.3129
2000,0.0432,0.3129
2001,0.0759,0.3133
2002,0.0663,0.3632
2003,0.0557,0.3664
2004,0.0314,0.3672
2005,0.0247,0.3360
2006,0.0666,0.3217
2007,0.0762,0.3512
2008,0.0915,0.3568
2009,0.0775,0.3613
2010,0.0828,0.3420
2011,0.0781,0.3310
2012,0.0901,0.3338
2013,0.0950,0.3393
2014,0.1091,0.3574
2015,0.1040,0.3590
2016,0.1092,0.3765
2017,0.1165,0.3457
2018,0.1182,0.3557
2019,0.1227,0.3481
2020,0.1203,0.3612
2021,0.1439,0.3511
2022,0.1554,0.3497
2023,0.1411,0.3643
2024,0.1118,0.3682
2025,0.1424,0.3676
